"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1870","Valid_Stackpane","Suite","Sat Oct 19 06:25:38 CDT 2024","passed","Sat Oct 19 06:25:39 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","Valid_Stackpane"
"","1803","valid_trees_pane","Suite","Sat Oct 19 06:28:03 CDT 2024","passed","Sat Oct 19 06:28:05 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2369","valid_trees_pane","Suite","Sat Oct 19 06:28:10 CDT 2024","passed","Sat Oct 19 06:28:12 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","1948","invalid_trees_pane","Suite","Sat Oct 19 06:26:12 CDT 2024","passed","Sat Oct 19 06:26:14 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2036","userClicks_linked_list","Suite","Sat Oct 19 06:24:21 CDT 2024","passed","Sat Oct 19 06:24:23 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","2134","Array_valid","Suite","Sat Oct 19 06:22:24 CDT 2024","passed","Sat Oct 19 06:22:26 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_valid"
"","1946","invalid_trees_pane","Suite","Sat Oct 19 06:26:41 CDT 2024","passed","Sat Oct 19 06:26:43 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2824","invalid_linked_list","Suite","Sat Oct 19 06:23:32 CDT 2024","passed","Sat Oct 19 06:23:35 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","1998","Array_valid","Suite","Sat Oct 19 06:22:36 CDT 2024","passed","Sat Oct 19 06:22:38 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_valid"
"","2437","invalid_linked_list","Suite","Sat Oct 19 06:23:25 CDT 2024","passed","Sat Oct 19 06:23:28 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","invalid_linked_list"
"","2032","invalid_Stackpan","Suite","Sat Oct 19 06:25:55 CDT 2024","passed","Sat Oct 19 06:25:57 CDT 2024","StepDefination.StackClassFile","Test7","StepDefination.StackClassFile","invalid_Stackpan"
"","2004","invalid_trees_pane","Suite","Sat Oct 19 06:26:29 CDT 2024","passed","Sat Oct 19 06:26:31 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2022","userClicks_linked_list","Suite","Sat Oct 19 06:24:27 CDT 2024","passed","Sat Oct 19 06:24:29 CDT 2024","StepDefination.LinkedListFile","Test5","StepDefination.LinkedListFile","userClicks_linked_list"
"","1882","valid_trees_pane","Suite","Sat Oct 19 06:27:22 CDT 2024","passed","Sat Oct 19 06:27:24 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","262","quitmethod","Suite","Sat Oct 19 06:23:21 CDT 2024","passed","Sat Oct 19 06:23:21 CDT 2024","StepDefination.HomepageFile","Test4","StepDefination.HomepageFile","quitmethod"
"","1841","valid_trees_pane","Suite","Sat Oct 19 06:27:34 CDT 2024","passed","Sat Oct 19 06:27:36 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","valid_trees_pane"
"","2316","invalid_trees_pane","Suite","Sat Oct 19 06:27:04 CDT 2024","passed","Sat Oct 19 06:27:07 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
"","2062","Array_valid","Suite","Sat Oct 19 06:22:30 CDT 2024","passed","Sat Oct 19 06:22:32 CDT 2024","StepDefination.ArraysDocClassFile","Test1","StepDefination.ArraysDocClassFile","Array_valid"
"","1893","invalid_trees_pane","Suite","Sat Oct 19 06:26:35 CDT 2024","passed","Sat Oct 19 06:26:37 CDT 2024","StepDefination.TreesClassFile","Test8","StepDefination.TreesClassFile","invalid_trees_pane"
